"","order_var","article_title","n","mins","hrs"
"43",9,"Nigerian actor's children arrested over his medical bills",95,475,7.91666666666667
"44",8,"Hunt to uncover story of mysterious shipwreck",94,470,7.83333333333333
"45",2,"Inert nuclear missile found in US man's garage",93,465,7.75
"46",1,"'Drugged, robbed, killed': One city's deadly dating trap",92,460,7.66666666666667
"47",1,"Key Israeli war leader challenges Netanyahu over Gaza strategy",92,460,7.66666666666667
"48",1,"They were Israel's 'eyes on the border' - their warnings went unheard",90,450,7.5
"49",2,"No more easy deals for Russian convicts freed to fight",90,450,7.5
"50",8,"Dua Lipa, Billie Eilish and SZA to star at Grammy Awards",90,450,7.5
"51",9,"Hunt to uncover story of mysterious shipwreck",90,450,7.5
"52",1,"Taylor Swift makes history at the Grammy Awards",89,445,7.41666666666667
"53",2,"Jacinda Ardern marries partner in private ceremony",89,445,7.41666666666667
"54",2,"Margot Robbie comments on best actress Oscar snub",89,445,7.41666666666667
"55",3,"They fled as lava spilled into town - and they may never return",89,445,7.41666666666667
"56",4,"Inert nuclear missile found in US man's garage",89,445,7.41666666666667
"57",3,"Taylor Swift deepfakes spark calls for US legislation",88,440,7.33333333333333
"58",4,"Warning over children using viral skincare products",88,440,7.33333333333333
"59",4,"'We're the country of beef, but we can only afford chicken'",87,435,7.25
"60",4,"Defamation defeat a double-edged sword for Trump",87,435,7.25
"61",6,"Did bodybuilding bring on my early perimenopause?",87,435,7.25
"62",7,"Rule, Britannia! is uncomfortable, cellist says",87,435,7.25
"63",1,"Biden says he has decided US response to Jordan attack",86,430,7.16666666666667
"64",2,"Melania Trump gives eulogy at mother's funeral",85,425,7.08333333333333
"65",3,"Who are the Houthi rebels attacking Red Sea ships?",84,420,7
"66",2,"Huge ancient city found in the Amazon",83,415,6.91666666666667
"67",2,"UN agency condemns aid halt after Hamas attack claim",83,415,6.91666666666667
"68",3,"Alec Baldwin charged again in fatal Rust shooting",83,415,6.91666666666667
"69",4,"Hamas responds to proposed Gaza ceasefire plan",83,415,6.91666666666667
"70",4,"What do we know about the King's cancer diagnosis?",83,415,6.91666666666667
"71",5,"Deadly blast hits market in Russia-held Ukraine city",83,415,6.91666666666667
"72",1,"Miss Japan steps down after tabloid exposes affair",82,410,6.83333333333333
"73",1,"Stunning shot of polar bear drifting to sleep wins award",82,410,6.83333333333333
"74",2,"US man says wait for untested execution like 'torture'",81,405,6.75
"75",4,"New atom-smasher could spark physics revolution",81,405,6.75
"76",1,"Clapham suspect convicted of sex offence in 2018",80,400,6.66666666666667
"77",1,"The cancer doctor trying to stop his brain tumour killing him",80,400,6.66666666666667
"78",3,"Ex-minister of secretive sect admits child abuse",80,400,6.66666666666667
"79",3,"Mother convicted for failing to stop school shooting",80,400,6.66666666666667
"80",4,"Japan lands on Moon but glitch threatens mission",80,400,6.66666666666667
"81",4,"Trump's federal trial on election meddling postponed",80,400,6.66666666666667
"82",10,"Nigerian actor's children arrested over his medical bills",80,400,6.66666666666667
"83",1,"News outlet's doctored MP photo causes sexism fury",79,395,6.58333333333333
"84",1,"Qatar 'appalled' by Netanyahu's reported criticism",79,395,6.58333333333333
"85",1,"Ron DeSantis quits presidential race and backs Trump",79,395,6.58333333333333
"86",4,"Protesters throw soup at Mona Lisa painting",79,395,6.58333333333333
"87",5,"Gustav Klimt portrait found after almost 100 years",79,395,6.58333333333333
"88",8,"Baldwin pleads not guilty to involuntary manslaughter",79,395,6.58333333333333
"89",1,"US drone kills Iran-backed militia leader in Baghdad",78,390,6.5
"90",3,"British brothers raided Swiss museum 'to clear a debt'",78,390,6.5
"91",1,"William visits Kate in hospital after surgery",77,385,6.41666666666667
"92",2,"Putin says deal can be reached to free US reporter",77,385,6.41666666666667
"93",3,"Protesters throw soup at Mona Lisa painting",77,385,6.41666666666667
"94",8,"Nigerian actor's children arrested over his medical bills",77,385,6.41666666666667
"95",3,"Death in the Channel - what led a boy to make fatal journey?",76,380,6.33333333333333
