"","article_title","n","mins","hrs"
"457","Illinois mass shooting suspect dies in Texas - police",77,385,6.41666666666667
"458","Nauru cuts ties with Taiwan in favour of China",77,385,6.41666666666667
"459","Oppenheimer eclipses Barbie in Bafta nominations",77,385,6.41666666666667
"460","Record seizures at Europe's 'cocaine capital' port",77,385,6.41666666666667
"461","What is Tower 22 and why are US troops in Jordan?",77,385,6.41666666666667
"462","Emma Stone: Sex scenes in Poor Things are 'honest'",76,380,6.33333333333333
"463","Four NHL players charged over 2018 sexual assault",76,380,6.33333333333333
"464","UK High Court throws out Trump ex-spy dossier case",76,380,6.33333333333333
"465","Colombia's 'Cocaine Godmother' gets Hollywood makeover",75,375,6.25
"466","Hezbollah missile attack kills Israeli woman and son",75,375,6.25
"467","Nikki Haley fights on, but this is Trump's party now",75,375,6.25
"468","World tops 1.5C warming threshold for full year",75,375,6.25
"469","Japan hopes sunlight can save stricken Moon lander",74,370,6.16666666666667
"470","UN's top court says Israel must prevent genocide",74,370,6.16666666666667
"471","'We caught nan's abusers on a hidden camera'",73,365,6.08333333333333
"472","Briton in Madrid court over Snapchat plane-bomb hoax",73,365,6.08333333333333
"473","Gaza destruction risks a lost generation - UN",73,365,6.08333333333333
"474","I almost died up a mountain scattering dad's ashes",73,365,6.08333333333333
"475","Spears seems to apologise to Timberlake over book",73,365,6.08333333333333
"476","US baby's decapitation in delivery ruled a homicide",73,365,6.08333333333333
"477","Papua New Guinea hit by deadly riots and looting",72,360,6
"478","Russian anti-war band arrested in Thailand",72,360,6
"479","Trump counts on evangelicals to carry him to Iowa victory",72,360,6
"480","UK demands clarity over whereabouts of activist",72,360,6
"481","Video released of search for Clapham attack suspect",72,360,6
"482","Can Nikki Haley really stop Donald Trump in 2024?",71,355,5.91666666666667
"483","Dozens reported killed as Khan Younis battle rages",71,355,5.91666666666667
"484","Mother of killed Israeli calls Hamas videos 'psychological warfare'",71,355,5.91666666666667
"485","They were Israel's eyes on the border - but their Hamas warnings went unheard",71,355,5.91666666666667
"486","Alabama carries out first US nitrogen gas execution",70,350,5.83333333333333
"487","Andrew Scott film an 'unforgettable' look at trauma",70,350,5.83333333333333
"488","Attacks fly as Trump grows lead in New Hampshire",70,350,5.83333333333333
"489","Has great white shark newborn been caught on film?",70,350,5.83333333333333
"490","McCann suspect to stay silent in German rape trial",70,350,5.83333333333333
"491","Snoop Dogg sues Walmart over cereal sabotage claim",70,350,5.83333333333333
"492","Five US Marines missing after helicopter goes down",69,345,5.75
"493","German far-right met to plan 'mass deportations'",69,345,5.75
"494","Judge proposes Rubiales trial for World Cup kiss",69,345,5.75
"495","Turkish MPs back Sweden's Nato membership",69,345,5.75
"496","UN agency probes claim staff took part in Hamas attack",69,345,5.75
"497","Universal Music to pull songs from TikTok",69,345,5.75
