order,value,url,scrape_date,order_var
7,US actress Piper Laurie dies at 91,NA,2023-10-15T10:49:49Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:49:49Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:49:49Z,NA
10,Fury outpoints KSI in unlicensed grudge match,NA,2023-10-15T10:49:49Z,NA
1,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:54:55Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T10:54:55Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:54:55Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:54:55Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:54:55Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:54:55Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T10:54:55Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:54:55Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:54:55Z,NA
10,Fury outpoints KSI in unlicensed grudge match,NA,2023-10-15T10:54:55Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:00:00Z,NA
2,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:00:00Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:00:00Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:00:00Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:00:00Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:00:00Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:00:00Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:00:00Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:00:00Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T11:00:00Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:05:05Z,NA
2,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:05:05Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:05:05Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:05:05Z,NA
