order,value,url,scrape_date,order_var
5,Threats fly as US House Speaker race turns ugly,NA,2023-10-19T18:50:01Z,NA
6,Hundreds arrested at protest near US Capitol,NA,2023-10-19T18:50:01Z,NA
7,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T18:50:01Z,NA
8,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T18:50:01Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T18:50:01Z,NA
10,Greta Thunberg joins climate protest outside bank,NA,2023-10-19T18:50:01Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T18:55:03Z,NA
2,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T18:55:03Z,NA
3,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T18:55:03Z,NA
4,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T18:55:03Z,NA
5,Hundreds arrested at protest near US Capitol,NA,2023-10-19T18:55:03Z,NA
6,Threats fly as US House Speaker race turns ugly,NA,2023-10-19T18:55:03Z,NA
7,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T18:55:03Z,NA
8,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T18:55:03Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T18:55:03Z,NA
10,Second American journalist detained in Russia,NA,2023-10-19T18:55:03Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:00:06Z,NA
2,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:00:06Z,NA
3,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:00:06Z,NA
4,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:00:06Z,NA
5,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:00:06Z,NA
6,Threats fly as US House Speaker race turns ugly,NA,2023-10-19T19:00:06Z,NA
7,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:00:06Z,NA
8,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T19:00:06Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:00:06Z,NA
10,Second American journalist detained in Russia,NA,2023-10-19T19:00:06Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:05:08Z,NA
2,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:05:08Z,NA
3,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:05:08Z,NA
4,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:05:08Z,NA
5,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:05:08Z,NA
6,Threats fly as US House Speaker race turns ugly,NA,2023-10-19T19:05:08Z,NA
7,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:05:08Z,NA
8,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T19:05:08Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:05:08Z,NA
10,Second American journalist detained in Russia,NA,2023-10-19T19:05:08Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:10:10Z,NA
2,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:10:10Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:10:10Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:10:10Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:10:10Z,NA
6,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T19:10:10Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:10:10Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:10:10Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:10:10Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:10:10Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:15:12Z,NA
2,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:15:12Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:15:12Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:15:12Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:15:12Z,NA
6,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T19:15:12Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:15:12Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:15:12Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:15:12Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:15:12Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:20:14Z,NA
2,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:20:14Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:20:14Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:20:14Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:20:14Z,NA
6,Jordan set to pause Speaker votes amid backup plan,NA,2023-10-19T19:20:14Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:20:14Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:20:14Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:20:14Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:20:14Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:25:16Z,NA
2,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:25:16Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:25:16Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:25:16Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:25:16Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:25:16Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:25:16Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:25:16Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:25:16Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:25:16Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:30:18Z,NA
2,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:30:18Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:30:18Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:30:18Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:30:18Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:30:18Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:30:18Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:30:18Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:30:18Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:30:18Z,NA
1,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:35:20Z,NA
2,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:35:20Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:35:20Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:35:20Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:35:20Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:35:20Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:35:20Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:35:20Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:35:20Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:35:20Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:40:23Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:40:23Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:40:23Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:40:23Z,NA
5,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:40:23Z,NA
6,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:40:23Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:40:23Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:40:23Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:40:23Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:40:23Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:45:25Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:45:25Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:45:25Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:45:25Z,NA
5,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:45:25Z,NA
6,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:45:25Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:45:25Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:45:25Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:45:25Z,NA
10,Law firm pulls job offers over anti-Israel letters,NA,2023-10-19T19:45:25Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:50:27Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:50:27Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:50:27Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:50:27Z,NA
5,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:50:27Z,NA
6,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:50:27Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:50:27Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:50:27Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:50:27Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T19:50:27Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T19:55:29Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T19:55:29Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T19:55:29Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T19:55:29Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T19:55:29Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T19:55:29Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T19:55:29Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T19:55:29Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T19:55:29Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T19:55:29Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:00:31Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:00:31Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:00:31Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:00:31Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:00:31Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:00:31Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:00:31Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:00:31Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:00:31Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:00:31Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:05:33Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:05:33Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:05:33Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:05:33Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:05:33Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:05:33Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:05:33Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:05:33Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:05:33Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:05:33Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:10:35Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:10:35Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:10:35Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:10:35Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:10:35Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:10:35Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:10:35Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:10:35Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:10:35Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:10:35Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:15:38Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:15:38Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:15:38Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:15:38Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:15:38Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:15:38Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:15:38Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:15:38Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:15:38Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:15:38Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:20:40Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:20:40Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:20:40Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:20:40Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:20:40Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:20:40Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:20:40Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:20:40Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:20:40Z,NA
10,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:20:40Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:25:42Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:25:42Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:25:42Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:25:42Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:25:42Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:25:42Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:25:42Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:25:42Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:25:42Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T20:25:42Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:30:44Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:30:44Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:30:44Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:30:44Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:30:44Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:30:44Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:30:44Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:30:44Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:30:44Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T20:30:44Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:35:46Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:35:46Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:35:46Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:35:46Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:35:46Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:35:46Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:35:46Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:35:46Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:35:46Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T20:35:46Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:40:48Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:40:48Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:40:48Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:40:48Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:40:48Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:40:48Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:40:48Z,NA
8,Gwyneth Paltrow rejects 'ugly' nepo baby label,NA,2023-10-19T20:40:48Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:40:48Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T20:40:48Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:45:51Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:45:51Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:45:51Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:45:51Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:45:51Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:45:51Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:45:51Z,NA
8,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:45:51Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:45:51Z,NA
10,EU bids to tighten migration rules after attacks,NA,2023-10-19T20:45:51Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:50:53Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:50:53Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:50:53Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:50:53Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:50:53Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:50:53Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:50:53Z,NA
8,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:50:53Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:50:53Z,NA
10,EU bids to tighten migration rules after attacks,NA,2023-10-19T20:50:53Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T20:55:55Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T20:55:55Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T20:55:55Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T20:55:55Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T20:55:55Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T20:55:55Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T20:55:55Z,NA
8,Law students lose job offers over anti-Israel letters,NA,2023-10-19T20:55:55Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T20:55:55Z,NA
10,EU bids to tighten migration rules after attacks,NA,2023-10-19T20:55:55Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:00:57Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:00:57Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T21:00:57Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T21:00:57Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T21:00:57Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T21:00:57Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T21:00:57Z,NA
8,Law students lose job offers over anti-Israel letters,NA,2023-10-19T21:00:57Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T21:00:57Z,NA
10,EU bids to tighten migration rules after attacks,NA,2023-10-19T21:00:57Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:06:14Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:06:14Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T21:06:14Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T21:06:14Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T21:06:14Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T21:06:14Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T21:06:14Z,NA
8,Law students lose job offers over anti-Israel letters,NA,2023-10-19T21:06:14Z,NA
9,The top electric car maker that is not Tesla,NA,2023-10-19T21:06:14Z,NA
10,EU bids to tighten migration rules after attacks,NA,2023-10-19T21:06:14Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:11:17Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:11:17Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T21:11:17Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T21:11:17Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T21:11:17Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T21:11:17Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T21:11:17Z,NA
8,EU bids to tighten migration rules after attacks,NA,2023-10-19T21:11:17Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T21:11:17Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T21:11:17Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:16:19Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:16:19Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T21:16:19Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T21:16:19Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T21:16:19Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T21:16:19Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T21:16:19Z,NA
8,EU bids to tighten migration rules after attacks,NA,2023-10-19T21:16:19Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T21:16:19Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T21:16:19Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:21:22Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:21:22Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T21:21:22Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T21:21:22Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T21:21:22Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T21:21:22Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T21:21:22Z,NA
8,EU bids to tighten migration rules after attacks,NA,2023-10-19T21:21:22Z,NA
9,Law students lose job offers over anti-Israel letters,NA,2023-10-19T21:21:22Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T21:21:22Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:26:24Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:26:24Z,NA
3,Trump ex-lawyer pleads guilty in Georgia election case,NA,2023-10-19T21:26:24Z,NA
4,'Mannequin' arrested after Warsaw shop burglary,NA,2023-10-19T21:26:24Z,NA
5,"What video, pictures and other evidence tell us about Gaza hospital blast",NA,2023-10-19T21:26:24Z,NA
6,Jordan set to pause Speaker bid after twin defeats,NA,2023-10-19T21:26:24Z,NA
7,Hundreds arrested at protest near US Capitol,NA,2023-10-19T21:26:24Z,NA
8,Law students lose job offers over anti-Israel letters,NA,2023-10-19T21:26:24Z,NA
9,EU bids to tighten migration rules after attacks,NA,2023-10-19T21:26:24Z,NA
10,The top electric car maker that is not Tesla,NA,2023-10-19T21:26:24Z,NA
1,Berlusconi's 'worthless' art a headache for heirs,NA,2023-10-19T21:31:26Z,NA
2,Ukraine troop build-up reported across Dnipro river,NA,2023-10-19T21:31:26Z,NA
